username,datetime,portal,page,remark1,remark2
"admin","2020-12-03 01:05:23","/s3-bucket/shiny-server/public/MathsPortal","AppPages-AMathQGenPageModule-name","",""
"admin","2020-12-03 01:05:23","/s3-bucket/shiny-server/public/MathsPortal","AppPages-AMathTopicalPageModule-name","",""
"admin","2020-12-03 01:05:28","/s3-bucket/shiny-server/public/MathsPortal","AppPages-DBAccessPageModule-name","",""
"admin","2020-12-03 01:05:28","/s3-bucket/shiny-server/public/MathsPortal","AppPages-MathCPageModule-name","",""
"admin","2020-12-03 01:05:29","/s3-bucket/shiny-server/public/MathsPortal","AppPages-UserManagementPageModule-name","",""
"admin","2020-12-05 02:07:51","/s3-bucket/shiny-server/public/MathsPortal","AppPages-AMathPageModule-name","",""
"admin","2020-12-05 02:07:54","/s3-bucket/shiny-server/public/MathsPortal","AppPages-AMathQGenPageModule-name","",""
"admin","2020-12-05 02:07:54","/s3-bucket/shiny-server/public/MathsPortal","AppPages-AMathTopicalPageModule-name","",""
"admin","2020-12-05 02:08:01","/s3-bucket/shiny-server/public/MathsPortal","AppPages-DBAccessPageModule-name","",""
"admin","2020-12-05 02:08:03","/s3-bucket/shiny-server/public/MathsPortal","AppPages-MathCPageModule-name","",""
"admin","2020-12-05 02:08:04","/s3-bucket/shiny-server/public/MathsPortal","AppPages-UserManagementPageModule-name","",""
"admin","2020-12-06 14:41:45","/s3-bucket/shiny-server/public/MathsPortal","AppPages-AMathPageModule-name","",""
"admin","2020-12-06 14:41:46","/s3-bucket/shiny-server/public/MathsPortal","AppPages-AMathQGenPageModule-name","",""
"admin","2020-12-06 14:41:46","/s3-bucket/shiny-server/public/MathsPortal","AppPages-AMathTopicalPageModule-name","",""
"admin","2020-12-06 14:41:53","/s3-bucket/shiny-server/public/MathsPortal","AppPages-DBAccessPageModule-name","",""
"admin","2020-12-06 14:41:54","/s3-bucket/shiny-server/public/MathsPortal","AppPages-MathCPageModule-name","",""
"admin","2020-12-06 14:41:55","/s3-bucket/shiny-server/public/MathsPortal","AppPages-UserManagementPageModule-name","",""
"admin","2020-12-06 15:06:58","/s3-bucket/shiny-server/public/MathsPortal","AppPages-AMathPageModule-name","",""
"admin","2020-12-06 15:06:59","/s3-bucket/shiny-server/public/MathsPortal","AppPages-AMathQGenPageModule-name","",""
"admin","2020-12-06 15:07:00","/s3-bucket/shiny-server/public/MathsPortal","AppPages-AMathTopicalPageModule-name","",""
"admin","2020-12-06 15:07:07","/s3-bucket/shiny-server/public/MathsPortal","AppPages-DBAccessPageModule-name","",""
"admin","2020-12-06 15:07:08","/s3-bucket/shiny-server/public/MathsPortal","AppPages-MathCPageModule-name","",""
"admin","2020-12-06 15:07:09","/s3-bucket/shiny-server/public/MathsPortal","AppPages-UserManagementPageModule-name","",""
"admin","2020-12-13 07:27:38","/s3-bucket/shiny-server/public/MathsPortal","AppPages-AMathPageModule-name","",""
"admin","2020-12-13 07:27:39","/s3-bucket/shiny-server/public/MathsPortal","AppPages-AMathQGenPageModule-name","",""
"admin","2020-12-13 07:27:40","/s3-bucket/shiny-server/public/MathsPortal","AppPages-AMathTopicalPageModule-name","",""
"admin","2020-12-13 07:27:45","/s3-bucket/shiny-server/public/MathsPortal","AppPages-DBAccessPageModule-name","",""
"admin","2020-12-13 07:27:47","/s3-bucket/shiny-server/public/MathsPortal","AppPages-MathCPageModule-name","",""
"admin","2020-12-13 07:27:47","/s3-bucket/shiny-server/public/MathsPortal","AppPages-UserManagementPageModule-name","",""
"admin","2020-12-13 14:05:25","/srv/shiny-server/public/MathsPortal","AppPages-AMathPageModule-name","",""
"admin","2020-12-13 14:05:27","/srv/shiny-server/public/MathsPortal","AppPages-AMathQGenPageModule-name","",""
"admin","2020-12-13 14:05:28","/srv/shiny-server/public/MathsPortal","AppPages-AMathTopicalPageModule-name","",""
"admin","2020-12-13 14:05:33","/srv/shiny-server/public/MathsPortal","AppPages-DBAccessPageModule-name","",""
"admin","2020-12-13 14:05:34","/srv/shiny-server/public/MathsPortal","AppPages-MathCPageModule-name","",""
"admin","2020-12-13 14:05:35","/srv/shiny-server/public/MathsPortal","AppPages-UserManagementPageModule-name","",""
"admin","2020-12-13 14:46:46","/srv/shiny-server/public/MathsPortal","AppPages-AMathPageModule-name","",""
"admin","2020-12-13 14:46:47","/srv/shiny-server/public/MathsPortal","AppPages-AMathQGenPageModule-name","",""
"admin","2020-12-13 14:46:48","/srv/shiny-server/public/MathsPortal","AppPages-AMathTopicalPageModule-name","",""
"admin","2020-12-13 14:46:52","/srv/shiny-server/public/MathsPortal","AppPages-DBAccessPageModule-name","",""
"admin","2020-12-13 14:46:54","/srv/shiny-server/public/MathsPortal","AppPages-MathCPageModule-name","",""
"admin","2020-12-13 14:46:55","/srv/shiny-server/public/MathsPortal","AppPages-UserManagementPageModule-name","",""
"admin","2020-12-17 00:29:17","/s3-bucket/shiny-server/public/MathsPortal","AppPages-AMathPageModule-name","",""
"admin","2020-12-17 00:29:18","/s3-bucket/shiny-server/public/MathsPortal","AppPages-AMathQGenPageModule-name","",""
